Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005524~ATP binding	26	15.66265060240964	2.996912887032531E-4	236858_S_AT, 210024_S_AT, 220246_AT, 225611_AT, 225999_AT, 208941_S_AT, 205813_S_AT, 1556341_S_AT, 228659_AT, 215305_AT, 235948_AT, 1559051_S_AT, 205435_S_AT, 221918_AT, 228367_AT, 223686_AT, 228925_AT, 226994_AT, 222657_S_AT, 212361_S_AT, 232585_AT, 227713_AT, 201343_AT, 206674_AT, 224307_X_AT, 226450_AT	136	1460	16503	2.1609488315874295	0.0865442404459209	0.09050676918838244	0.09050676918838244
WIKIPATHWAYS	WP4541:Hippo Merlin signaling dysregulation	7	4.216867469879518	7.350807526413243E-4	207172_S_AT, 202647_S_AT, 1554819_A_AT, 215305_AT, 210844_X_AT, 206674_AT, 226450_AT	74	118	7903	6.335432890517637	0.17645137062200822	0.19479639944995095	0.19479639944995095
REACTOME_PATHWAY	R-HSA-1236394~Signaling by ERBB4	5	3.0120481927710845	0.0014078559080736338	200633_AT, 202647_S_AT, 200665_S_AT, 228554_AT, 211373_S_AT	88	58	10331	10.120493730407524	0.7018624491388934	0.4267410223911174	0.4267410223911174
REACTOME_PATHWAY	R-HSA-9682385~FLT3 signaling in disease	4	2.4096385542168677	0.001622995613819434	200633_AT, 202647_S_AT, 206674_AT, 202778_S_AT	88	28	10331	16.7711038961039	0.7522377867143623	0.4267410223911174	0.4267410223911174
REACTOME_PATHWAY	R-HSA-9683701~Translation of Structural Proteins	4	2.4096385542168677	0.001799315815744652	200633_AT, 201998_AT, 238896_AT, 208761_S_AT	88	29	10331	16.19278996865204	0.7871152795410152	0.4267410223911174	0.4267410223911174
REACTOME_PATHWAY	R-HSA-8866652~Synthesis of active ubiquitin: roles of E1 and E2 enzymes	4	2.4096385542168677	0.0019871526071763325	200633_AT, 201343_AT, 210024_S_AT, 222657_S_AT	88	30	10331	15.653030303030304	0.8188921083415956	0.4267410223911174	0.4267410223911174
GOTERM_MF_DIRECT	GO:0005515~protein binding	114	68.67469879518072	0.003958008960998027	236858_S_AT, 201998_AT, 207159_X_AT, 222216_S_AT, 208031_S_AT, 215071_S_AT, 219377_AT, 208761_S_AT, 1554060_S_AT, 232585_AT, 228395_AT, 227713_AT, 200658_S_AT, 208632_AT, 234191_AT, 223878_AT, 218410_S_AT, 212724_AT, 1553990_AT, 229906_AT, 223125_S_AT, 209552_AT, 208226_X_AT, 242587_AT, 224307_X_AT, 237640_AT, 200015_S_AT, 211024_S_AT, 203292_S_AT, 205813_S_AT, 202778_S_AT, 213426_S_AT, 201467_S_AT, 202029_X_AT, 1558839_AT, 215305_AT, 235948_AT, 1559051_S_AT, 205435_S_AT, 202546_AT, 48117_AT, 212059_S_AT, 209508_X_AT, 203293_S_AT, 212361_S_AT, 204285_S_AT, 221276_S_AT, 228584_AT, 231922_AT, 209296_AT, 228765_AT, 214486_X_AT, 217930_S_AT, 206674_AT, 205222_AT, 223639_S_AT, 203786_S_AT, 218479_S_AT, 221526_X_AT, 1555736_A_AT, 200679_X_AT, 227508_AT, 221918_AT, 228554_AT, 239854_AT, 74694_S_AT, 212113_AT, 212921_AT, 226112_AT, 1553063_AT, 218402_S_AT, 201343_AT, 206393_AT, 232145_AT, 223894_S_AT, 221659_S_AT, 226450_AT, 1554974_AT, 221475_S_AT, 229834_AT, 210024_S_AT, 220246_AT, 234226_AT, 210844_X_AT, 208941_S_AT, 230493_AT, 1556341_S_AT, 228659_AT, 200837_AT, 1558733_AT, 202647_S_AT, 235177_AT, 1553177_AT, 214620_X_AT, 1570239_A_AT, 223686_AT, 218093_S_AT, 232102_AT, 54970_AT, 226994_AT, 228925_AT, 222657_S_AT, 210875_S_AT, 200633_AT, 223600_S_AT, 230496_AT, 211373_S_AT, 227277_AT, 238079_AT, 1552373_S_AT, 212845_AT, 204481_AT, 220184_AT, 200665_S_AT, 213666_AT, 208690_S_AT, 204983_S_AT	136	12165	16503	1.1371473126858636	0.6981093785299157	0.5976593531107021	0.5976593531107021
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	7	4.216867469879518	0.007988443441614028	228659_AT, 209552_AT, 214486_X_AT, 200658_S_AT, 228367_AT, 234191_AT, 206674_AT, 209508_X_AT	135	208	16068	4.0055555555555555	0.9994808679389052	1.0	1.0
GOTERM_BP_DIRECT	GO:0016310~phosphorylation	12	7.228915662650602	0.011344353644254323	232585_AT, 220246_AT, 225611_AT, 1558839_AT, 221918_AT, 217930_S_AT, 228367_AT, 223686_AT, 206674_AT, 208941_S_AT, 226450_AT, 1556341_S_AT	135	597	16068	2.3924064768285875	0.9999787439230576	1.0	1.0
REACTOME_PATHWAY	R-HSA-9694635~Translation of Structural Proteins	4	2.4096385542168677	0.012168291792512156	200633_AT, 201998_AT, 238896_AT, 208761_S_AT	88	57	10331	8.238437001594896	0.9999729190008595	1.0	1.0
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	13	7.83132530120482	0.013406797119670242	229834_AT, 236858_S_AT, 208632_AT, 200658_S_AT, 228659_AT, 206393_AT, 227277_AT, 209552_AT, 204481_AT, 48117_AT, 208690_S_AT, 211024_S_AT, 226450_AT	135	695	16068	2.226314948041567	0.9999970334868091	1.0	1.0
